Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Recording monitor latency	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Average calibration accuracy (pixels)	Average calibration precision SD (pixels)	Average calibration precision RMS (pixels)	Average validation accuracy (mm)	Average validation precision SD (mm)	Average validation precision RMS (mm)	Average validation accuracy (degrees)	Average validation precision SD (degrees)	Average validation precision RMS (degrees)	Average validation accuracy (pixels)	Average validation precision SD (pixels)	Average validation precision RMS (pixels)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Presented Stimulus name	Presented Media name	Presented Media width	Presented Media height	Presented Media position X (DACSpx)	Presented Media position Y (DACSpx)	Original Media width	Original Media height	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y	Fixation point X (MCSnorm)	Fixation point Y (MCSnorm)	Client area position X (DACSpx)	Client area position Y (DACSpx)	Viewport position X	Viewport position Y	Viewport width	Viewport height	Full page width	Full page height	Mouse position X	Mouse position Y
0	4078513503		Literacy-Demo	28.10.2025	Participant5	Recording5	27.10.2025	27.10.2025	14:29:22.963	13:29:22.963	87079	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	2.4	3.1	0.06	0.21	0.27	2	9	11	3.4	0.9	0.6	0.33	0.09	0.06	13	3	2		RecordingStart																																																										
106	4078513609		Literacy-Demo	28.10.2025	Participant5	Recording5	27.10.2025	27.10.2025	14:29:22.963	13:29:22.963	87079	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	2.4	3.1	0.06	0.21	0.27	2	9	11	3.4	0.9	0.6	0.33	0.09	0.06	13	3	2		Eye tracker TTL in	255																																									EyesNotFound	183	1														
106	4078513609	Eye Tracker	Literacy-Demo	28.10.2025	Participant5	Recording5	27.10.2025	27.10.2025	14:29:22.963	13:29:22.963	87079	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	2.4	3.1	0.06	0.21	0.27	2	9	11	3.4	0.9	0.6	0.33	0.09	0.06	13	3	2	902149498																	Invalid	Invalid																									EyesNotFound	183	1														
123	4078513626	Eye Tracker	Literacy-Demo	28.10.2025	Participant5	Recording5	27.10.2025	27.10.2025	14:29:22.963	13:29:22.963	87079	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	2.4	3.1	0.06	0.21	0.27	2	9	11	3.4	0.9	0.6	0.33	0.09	0.06	13	3	2	902166164																	Invalid	Invalid																									EyesNotFound	183	1														
139	4078513642	Eye Tracker	Literacy-Demo	28.10.2025	Participant5	Recording5	27.10.2025	27.10.2025	14:29:22.963	13:29:22.963	87079	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	2.4	3.1	0.06	0.21	0.27	2	9	11	3.4	0.9	0.6	0.33	0.09	0.06	13	3	2	902182831																	Invalid	Invalid																									EyesNotFound	183	1														
156	4078513659	Eye Tracker	Literacy-Demo	28.10.2025	Participant5	Recording5	27.10.2025	27.10.2025	14:29:22.963	13:29:22.963	87079	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	2.4	3.1	0.06	0.21	0.27	2	9	11	3.4	0.9	0.6	0.33	0.09	0.06	13	3	2	902199498																	Invalid	Invalid																									EyesNotFound	183	1														
173	4078513676	Eye Tracker	Literacy-Demo	28.10.2025	Participant5	Recording5	27.10.2025	27.10.2025	14:29:22.963	13:29:22.963	87079	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	2.4	3.1	0.06	0.21	0.27	2	9	11	3.4	0.9	0.6	0.33	0.09	0.06	13	3	2	902216164																	Invalid	Invalid																									EyesNotFound	183	1														
189	4078513692	Eye Tracker	Literacy-Demo	28.10.2025	Participant5	Recording5	27.10.2025	27.10.2025	14:29:22.963	13:29:22.963	87079	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	2.4	3.1	0.06	0.21	0.27	2	9	11	3.4	0.9	0.6	0.33	0.09	0.06	13	3	2	902232831																	Invalid	Invalid																									EyesNotFound	183	1														
206	4078513709	Eye Tracker	Literacy-Demo	28.10.2025	Participant5	Recording5	27.10.2025	27.10.2025	14:29:22.963	13:29:22.963	87079	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	2.4	3.1	0.06	0.21	0.27	2	9	11	3.4	0.9	0.6	0.33	0.09	0.06	13	3	2	902249498																	Invalid	Invalid																									EyesNotFound	183	1														
223	4078513726	Eye Tracker	Literacy-Demo	28.10.2025	Participant5	Recording5	27.10.2025	27.10.2025	14:29:22.963	13:29:22.963	87079	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	2.4	3.1	0.06	0.21	0.27	2	9	11	3.4	0.9	0.6	0.33	0.09	0.06	13	3	2	902266164																	Invalid	Invalid																									EyesNotFound	183	1														
239	4078513742	Eye Tracker	Literacy-Demo	28.10.2025	Participant5	Recording5	27.10.2025	27.10.2025	14:29:22.963	13:29:22.963	87079	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	2.4	3.1	0.06	0.21	0.27	2	9	11	3.4	0.9	0.6	0.33	0.09	0.06	13	3	2	902282830																	Invalid	Invalid																									EyesNotFound	183	1														
