Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Recording monitor latency	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Average calibration accuracy (pixels)	Average calibration precision SD (pixels)	Average calibration precision RMS (pixels)	Average validation accuracy (mm)	Average validation precision SD (mm)	Average validation precision RMS (mm)	Average validation accuracy (degrees)	Average validation precision SD (degrees)	Average validation precision RMS (degrees)	Average validation accuracy (pixels)	Average validation precision SD (pixels)	Average validation precision RMS (pixels)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Presented Stimulus name	Presented Media name	Presented Media width	Presented Media height	Presented Media position X (DACSpx)	Presented Media position Y (DACSpx)	Original Media width	Original Media height	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y	Fixation point X (MCSnorm)	Fixation point Y (MCSnorm)	Client area position X (DACSpx)	Client area position Y (DACSpx)	Viewport position X	Viewport position Y	Viewport width	Viewport height	Full page width	Full page height	Mouse position X	Mouse position Y
0	4078391502		Literacy-Demo	28.10.2025	Participant4	Recording4	27.10.2025	27.10.2025	14:27:20.917	13:27:20.917	79223	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	2.6	4.6	5.2	0.23	0.39	0.45	10	17	19	9.2	2.2	2.0	0.86	0.20	0.18	34	8	7		RecordingStart																																																										
15	4078391517	Mouse	Literacy-Demo	28.10.2025	Participant4	Recording4	27.10.2025	27.10.2025	14:27:20.917	13:27:20.917	79223	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	2.6	4.6	5.2	0.23	0.39	0.45	10	17	19	9.2	2.2	2.0	0.86	0.20	0.18	34	8	7																																																											-78	1071
31	4078391533	Mouse	Literacy-Demo	28.10.2025	Participant4	Recording4	27.10.2025	27.10.2025	14:27:20.917	13:27:20.917	79223	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	2.6	4.6	5.2	0.23	0.39	0.45	10	17	19	9.2	2.2	2.0	0.86	0.20	0.18	34	8	7																																																											-79	1066
47	4078391549	Mouse	Literacy-Demo	28.10.2025	Participant4	Recording4	27.10.2025	27.10.2025	14:27:20.917	13:27:20.917	79223	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	2.6	4.6	5.2	0.23	0.39	0.45	10	17	19	9.2	2.2	2.0	0.86	0.20	0.18	34	8	7																																																											-80	1059
63	4078391565	Mouse	Literacy-Demo	28.10.2025	Participant4	Recording4	27.10.2025	27.10.2025	14:27:20.917	13:27:20.917	79223	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	2.6	4.6	5.2	0.23	0.39	0.45	10	17	19	9.2	2.2	2.0	0.86	0.20	0.18	34	8	7																																																											-81	1053
79	4078391581	Mouse	Literacy-Demo	28.10.2025	Participant4	Recording4	27.10.2025	27.10.2025	14:27:20.917	13:27:20.917	79223	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	2.6	4.6	5.2	0.23	0.39	0.45	10	17	19	9.2	2.2	2.0	0.86	0.20	0.18	34	8	7																																																											-82	1048
95	4078391597	Mouse	Literacy-Demo	28.10.2025	Participant4	Recording4	27.10.2025	27.10.2025	14:27:20.917	13:27:20.917	79223	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	2.6	4.6	5.2	0.23	0.39	0.45	10	17	19	9.2	2.2	2.0	0.86	0.20	0.18	34	8	7																																																											-87	1040
111	4078391613	Mouse	Literacy-Demo	28.10.2025	Participant4	Recording4	27.10.2025	27.10.2025	14:27:20.917	13:27:20.917	79223	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	2.6	4.6	5.2	0.23	0.39	0.45	10	17	19	9.2	2.2	2.0	0.86	0.20	0.18	34	8	7																																																											-92	1035
124	4078391626		Literacy-Demo	28.10.2025	Participant4	Recording4	27.10.2025	27.10.2025	14:27:20.917	13:27:20.917	79223	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	2.6	4.6	5.2	0.23	0.39	0.45	10	17	19	9.2	2.2	2.0	0.86	0.20	0.18	34	8	7		Eye tracker TTL in	255																																									EyesNotFound	183	1														
124	4078391626	Eye Tracker	Literacy-Demo	28.10.2025	Participant4	Recording4	27.10.2025	27.10.2025	14:27:20.917	13:27:20.917	79223	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	2.6	4.6	5.2	0.23	0.39	0.45	10	17	19	9.2	2.2	2.0	0.86	0.20	0.18	34	8	7	780166360																	Invalid	Invalid																									EyesNotFound	183	1														
127	4078391629	Mouse	Literacy-Demo	28.10.2025	Participant4	Recording4	27.10.2025	27.10.2025	14:27:20.917	13:27:20.917	79223	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	2.6	4.6	5.2	0.23	0.39	0.45	10	17	19	9.2	2.2	2.0	0.86	0.20	0.18	34	8	7																																												EyesNotFound	183	1													-101	1022
140	4078391642	Eye Tracker	Literacy-Demo	28.10.2025	Participant4	Recording4	27.10.2025	27.10.2025	14:27:20.917	13:27:20.917	79223	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	2.6	4.6	5.2	0.23	0.39	0.45	10	17	19	9.2	2.2	2.0	0.86	0.20	0.18	34	8	7	780183026																	Invalid	Invalid																									EyesNotFound	183	1														
143	4078391645	Mouse	Literacy-Demo	28.10.2025	Participant4	Recording4	27.10.2025	27.10.2025	14:27:20.917	13:27:20.917	79223	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	2.6	4.6	5.2	0.23	0.39	0.45	10	17	19	9.2	2.2	2.0	0.86	0.20	0.18	34	8	7																																												EyesNotFound	183	1													-115	1007
157	4078391659	Eye Tracker	Literacy-Demo	28.10.2025	Participant4	Recording4	27.10.2025	27.10.2025	14:27:20.917	13:27:20.917	79223	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	2.6	4.6	5.2	0.23	0.39	0.45	10	17	19	9.2	2.2	2.0	0.86	0.20	0.18	34	8	7	780199693																	Invalid	Invalid																									EyesNotFound	183	1														
159	4078391661	Mouse	Literacy-Demo	28.10.2025	Participant4	Recording4	27.10.2025	27.10.2025	14:27:20.917	13:27:20.917	79223	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	2.6	4.6	5.2	0.23	0.39	0.45	10	17	19	9.2	2.2	2.0	0.86	0.20	0.18	34	8	7																																												EyesNotFound	183	1													-141	986
